Symbol,time,Date,Open,High,Low,Close,Volume,SMA_HIGH,SMA_LOW,SSL_COLOUR,SSL_SWITCH,ATR,RED_CANDLE,VOLUME_REQ,PRICE_REQ,BASELINE_REQ,TRADE_ENTRY,TRADE_RESULT,PERCENT_CHANGE
SIMO,09:30:00,2020-04-03 09:30:00,38.49,40.64,37.89,40.11,29245,37.27050000000101,36.928000000001404,GREEN,NO,5.881428571428572,NO,YES,YES,YES,YES,LOSS,3.6658118744880155
SINA,09:30:00,2020-04-06 09:30:00,33.29,33.66,33.21,33.63,76459,32.95750000000102,32.770000000001424,GREEN,NO,3.887142857142857,NO,YES,YES,YES,YES,TIE,-1.4272970561998333
SINT,09:30:00,2020-04-02 09:30:00,0.45,0.46,0.43,0.46,39858,0.4490000000010198,0.4320000000014038,GREEN,NO,4.621428571428573,NO,YES,YES,YES,YES,TIE,-19.56521739130435
SIRI,09:30:00,2020-04-03 09:30:00,4.73,4.76,4.66,4.74,819157,4.728000000001022,4.6920000000014035,GREEN,NO,4.0550000000000015,NO,YES,YES,YES,YES,TIE,-5.907172995780596
SKYW,09:30:00,2020-04-06 09:30:00,21.43,21.98,20.69,21.49,84752,19.93100000000096,19.54900000000142,GREEN,NO,22.068571428571424,NO,YES,YES,YES,YES,TIE,4.653327128897162
SLNO,09:30:00,2020-04-02 09:30:00,2.51,2.51,2.51,2.51,2039,2.349500000000968,2.286000000001461,GREEN,NO,4.193214285714285,NO,YES,YES,YES,YES,TIE,-2.7888446215139377
SLNO,09:30:00,2020-04-07 09:30:00,2.4,2.49,2.4,2.45,7636,2.237000000000968,2.1965000000014614,GREEN,NO,4.190357142857144,NO,YES,YES,YES,YES,TIE,0.8163265306122455
SLRC,09:30:00,2020-04-03 09:30:00,11.54,11.71,11.31,11.7,35080,11.271000000000914,11.191500000001488,GREEN,NO,6.6464285714285705,NO,YES,YES,YES,YES,TIE,-5.641025641025642
SMH,09:30:00,2020-04-03 09:30:00,114.0,115.46,113.78,114.98,88378,113.62250000000091,113.11700000000141,GREEN,NO,9.292142857142858,NO,YES,YES,YES,YES,LOSS,2.0203824267574486
SNCR,09:30:00,2020-04-06 09:30:00,3.07,3.16,2.96,3.16,3474,2.8735000000010116,2.810000000001544,GREEN,NO,6.190714285714287,NO,YES,YES,YES,YES,TIE,-2.531645569620255
SNSS,09:30:00,2020-04-06 09:30:00,0.44,0.4494,0.4349,0.4401,21488,0.4236650000010092,0.4163950000014808,GREEN,NO,19.74059285714285,NO,YES,YES,YES,YES,TIE,1.9541013406044072
SOHO,09:30:00,2020-04-06 09:30:00,1.63,1.68,1.63,1.64,27527,1.4980000000010465,1.4745000000014992,GREEN,NO,16.134885714285716,NO,YES,YES,YES,YES,TIE,3.658536585365857
SOHO,09:30:00,2020-04-07 09:30:00,1.8,1.98,1.8,1.9,35359,1.7140000000010474,1.6740000000014992,GREEN,NO,16.122028571428572,NO,YES,YES,YES,YES,TIE,-11.052631578947366
SONO,09:30:00,2020-04-06 09:30:00,8.42,8.58,8.4,8.52,113046,7.851500000001049,7.7570000000015,GREEN,NO,3.7,NO,YES,YES,YES,YES,TIE,1.995305164319248
SONO,09:30:00,2020-04-07 09:30:00,9.02,9.32,9.0,9.27,134658,8.66550000000105,8.575000000001504,GREEN,NO,3.6557142857142857,NO,YES,YES,YES,YES,LOSS,9.858992140545539
SOXX,09:30:00,2020-04-03 09:30:00,199.45,201.98,198.47,201.45,86988,198.14150000000103,197.17400000000148,GREEN,NO,14.157142857142857,NO,YES,YES,YES,YES,LOSS,1.756905293763075
SRET,09:30:00,2020-04-06 09:30:00,5.47,5.62,5.47,5.6,206734,5.050125000000973,5.009685000001177,GREEN,NO,7.071428571428571,NO,YES,YES,YES,YES,TIE,0.8928571428571557
