,index,0
362,CNSL,130
363,CNST,130
364,CNTY,130
365,CNXN,130
366,COCP,130
367,CODA,78
368,CODX,130
369,COHR,130
370,COHU,130
371,COKE,26
372,COLB,130
373,COLL,130
374,COLM,130
375,COMM,130
376,CONE,130
377,CONN,130
378,COOP,130
379,CORE,130
380,CORT,130
381,CORV,130
382,COST,130
383,COUP,130
384,COWN,130
385,CPRT,130
386,CPRX,130
387,CPSI,78
388,CPTA,78
389,CRAI,52
390,CRBP,130
391,CREE,130
392,CREG,130
393,CRMT,78
394,CRNC,130
395,CRON,130
396,CROX,130
397,CRSP,130
398,CRTO,130
399,CRUS,130
400,CRWD,130
401,CSCO,130
402,CSFL,130
403,CSGP,130
404,CSGS,130
405,CSII,130
406,CSIQ,130
407,CSOD,130
408,CSQ,130
409,CSTE,130
410,CSTL,52
411,CSWC,78
412,CSX,130
413,CTAS,130
414,CTMX,130
415,CTRE,130
416,CTRM,130
417,CTRN,78
418,CTSH,130
419,CTSO,130
420,CTXR,130
421,CTXS,130
422,CUE,104
423,CUTR,130
424,CVBF,130
425,CVCO,78
426,CVET,130
427,CVGI,130
428,CVGW,130
429,CVLT,130
430,CVTI,130
431,CWCO,104
432,CWST,130
433,CY,130
434,CYBR,130
435,CYOU,130
436,CYRX,130
437,CYTK,130
438,CZR,130
439,DBVT,52
440,DBX,130
441,DCOM,130
442,DCPH,130
443,DDOG,130
444,DEAC,130
445,DENN,130
446,DFFN,130
447,DGII,104
448,DGLD,78
449,DGRW,130
450,DHC,130
451,DIOD,130
452,DISCA,130
453,DISCK,130
454,DISH,130
455,DLTH,130
456,DLTR,130
457,DMRC,104
458,DNJR,130
459,DNKN,130
460,DNLI,130
461,DOCU,130
462,DOMO,130
463,DOOO,130
464,DORM,130
465,DOX,130
466,DOYU,130
467,DRNA,130
468,DRRX,130
469,DSGX,130
470,DSKE,130
471,DSLV,104
472,DSPG,130
473,DTIL,130
474,DTSS,26
475,DVAX,130
476,DVY,130
477,DWSH,130
478,DXCM,130
479,DXPE,130
480,DYAI,130
481,DYNT,130
482,EA,130
483,EBAY,130
484,EBAYL,52
485,EBIX,130
486,EBSB,130
487,ECHO,130
488,ECOL,130
489,ECOR,130
490,ECPG,130
491,EDIT,130
492,EEFT,130
493,EGAN,104
494,EGBN,130
495,EGLE,130
496,EGOV,130
497,EGRX,104
498,EHTH,130
499,EIDX,78
500,EIGI,130
501,EIGR,130
502,EMB,130
503,ENDP,130
504,ENPH,130
505,ENSG,130
506,ENT,130
507,ENTA,130
508,ENTG,130
509,EOLS,130
510,EPAY,130
511,EPZM,130
512,EQIX,130
513,ERI,130
514,ERIC,130
515,ERIE,104
516,ERII,130
517,ESGD,130
518,ESGE,130
519,ESGU,130
520,ESLT,78
521,ESPR,130
522,ESTA,78
523,ETFC,130
524,ETSY,130
525,EUFN,130
526,EVBG,130
527,EVER,130
528,EVFM,104
529,EVOP,130
530,EWBC,130
531,EXAS,130
532,EXC,130
533,EXEL,130
534,EXLS,104
535,EXPD,130
536,EXPE,130
537,EXPI,130
538,EXPO,130
539,EXTR,130
540,EYE,130
541,EYEG,26
542,EYES,78
543,EYPT,130
544,EZPW,130
545,FALN,26
546,FANG,130
547,FANH,104
548,FARM,130
549,FARO,104
550,FAST,130
551,FATE,130
552,FB,130
553,FBIO,130
554,FBMS,104
555,FBNC,130
556,FCBC,26
557,FCEL,130
558,FCFS,130
559,FDEF,130
560,FDT,104
561,FDUS,130
562,FELE,104
563,FEM,130
564,FEP,78
565,FEX,104
566,FEYE,130
567,FFBC,130
568,FFIC,130
569,FFIN,130
570,FFIV,130
571,FFWM,104
572,FGEN,130
573,FHB,130
574,FIBK,104
575,FINX,130
576,FISV,130
577,FITB,130
578,FITBI,52
579,FIVE,130
580,FIVN,130
581,FIXD,130
582,FIXX,130
583,FIZZ,130
584,FLDM,130
585,FLEX,130
586,FLGT,130
587,FLIR,130
588,FLL,52
589,FLMN,130
590,FLNT,130
591,FLWS,130
592,FLXN,130
593,FMB,130
594,FMBI,130
595,FMNB,104
596,FNHC,130
597,FNKO,130
598,FNY,26
599,FOCS,130
600,FOLD,130
601,FORM,130
602,FORR,52
603,FOSL,130
604,FOX,130
605,FOXA,130
606,FOXF,130
607,FPRX,130
608,FRBK,130
609,FREQ,130
610,FRGI,130
611,FRHC,52
612,FRME,130
613,FRPT,130
614,FRTA,130
615,FSCT,130
616,FSLR,130
617,FTA,130
618,FTCS,130
619,FTDR,130
620,FTFT,52
621,FTNT,130
622,FTR,130
623,FTSL,130
624,FTSM,130
625,FULT,130
626,FV,130
627,FVE,78
628,FWONA,130
629,FWONK,130
630,FWRD,130
631,FYX,52
632,GABC,104
633,GAIA,104
634,GAIN,130
635,GBCI,130
636,GBDC,130
637,GBT,130
638,GDEN,130
639,GDS,130
640,GENC,130
641,GENE,26
642,GEOS,104
643,GERN,130
644,GEVO,52
645,GGAL,130
646,GH,130
647,GHSI,130
648,GIII,130
649,GILD,130
650,GILT,130
651,GLAD,130
652,GLBS,52
653,GLDD,130
654,GLIBA,130
655,GLNG,130
656,GLPI,130
657,GLRE,130
658,GLUU,130
659,GLYC,130
660,GMAB,130
661,GNCA,26
662,GNLN,52
663,GNMK,130
664,GNPX,130
665,GNSS,78
666,GNTX,130
667,GNUS,52
668,GO,130
669,GOGL,130
670,GOGO,130
671,GOOD,130
672,GOOG,130
673,GOOGL,130
674,GOSS,130
675,GPOR,130
676,GPRE,130
677,GPRO,130
678,GRBK,130
679,GRFS,130
680,GRMN,130
681,GRPN,130
682,GRTS,104
683,GRWG,130
684,GSBC,52
685,GSHD,104
686,GSKY,130
687,GSM,52
688,GT,130
689,GTHX,130
690,GTLS,130
691,GWPH,130
692,HA,130
693,HAFC,130
694,HAIN,130
695,HALL,78
696,HALO,130
697,HAPP,130
698,HAS,130
699,HAYN,104
700,HBAN,130
701,HBIO,26
702,HBNC,130
703,HBP,52
704,HCAT,130
705,HCKT,130
706,HCSG,130
707,HDS,130
708,HEAR,130
709,HEES,130
710,HELE,130
711,HFFG,130
712,HFWA,130
713,HHR,52
714,HHT,104
715,HIBB,130
716,HIMX,130
717,HLIT,130
718,HLNE,104
719,HMHC,130
720,HMST,104
721,HMSY,130
722,HOLI,130
723,HOLX,130
724,HOMB,130
725,HONE,130
726,HOOK,52
727,HOPE,130
728,HQY,130
729,HRTX,130
730,HRZN,130
731,HSIC,130
732,HSII,130
733,HSTM,130
734,HTBK,130
735,HTBX,130
736,HTGM,130
737,HTHT,130
738,HTLD,130
739,HTLF,130
740,HUBG,130
741,HURN,52
742,HWC,130
743,HYLS,104
744,HYRE,104
745,HZNP,130
746,IAC,130
747,IART,130
748,IBB,130
749,IBCP,130
750,IBKC,130
751,IBKR,130
752,IBOC,130
753,IBTX,130
754,ICAD,130
755,ICFI,130
756,ICHR,130
757,ICLN,130
758,ICLR,130
759,ICPT,130
760,ICUI,104
761,IDCC,130
762,IDEX,130
763,IDN,130
764,IDXX,130
765,IEF,130
766,IEI,130
767,IEP,130
768,IFGL,52
769,IFMK,130
770,IFRX,130
771,IGF,130
772,IGIB,130
773,IGOV,52
774,IGSB,130
775,IHRT,130
776,IIIN,104
777,IIIV,130
778,IIVI,130
779,IJT,130
780,ILMN,130
781,ILPT,130
782,IMAC,130
783,IMGN,130
784,IMKTA,130
785,IMMR,130
786,IMMU,130
787,IMV,78
788,IMVT,104
789,INCY,130
790,INDB,130
791,INDY,26
792,INFN,130
793,INGN,130
794,INMD,130
795,INO,130
796,INOV,130
797,INPX,130
798,INSG,130
799,INSM,130
800,INTC,130
801,INTU,130
802,INVA,130
803,IONS,130
804,IOSP,52
805,IOTS,130
806,IOVA,130
807,IPAR,104
808,IPGP,130
809,IQ,130
810,IRBT,130
811,IRDM,130
812,IRTC,130
813,IRWD,130
814,ISBC,130
815,ISEE,130
816,ISRG,130
817,ISTB,130
818,ITCI,130
819,ITI,104
820,ITRI,130
821,ITRN,104
822,IUSB,130
823,IUSG,130
824,IUSV,130
825,IVAC,78
826,IXUS,130
827,IZEA,130
828,JACK,130
829,JAGX,52
830,JAKK,52
831,JAZZ,130
832,JBHT,130
833,JBLU,130
834,JCOM,130
835,JD,130
836,JJSF,130
837,JKHY,130
838,JNCE,130
839,JOBS,130
840,JRVR,130
841,JYNT,104
842,KALA,130
843,KALV,130
844,KBAL,130
845,KBWB,130
846,KBWD,78
847,KBWY,104
848,KELYA,104
849,KERN,104
850,KFRC,130
851,KHC,130
852,KIN,104
853,KIRK,130
854,KLAC,130
855,KLIC,130
856,KLXE,130
857,KMPH,130
858,KNDI,104
859,KNSA,130
860,KNSL,130
861,KOD,130
862,KPTI,130
863,KRMD,130
864,KRNT,130
865,KRNY,130
866,KRTX,130
867,KRYS,78
868,KTOS,130
869,KTOV,130
870,KURA,130
871,LAKE,130
872,LAMR,130
873,LANC,130
874,LAND,130
875,LASR,130
876,LAUR,130
877,LBAI,130
878,LBC,104
879,LBRDA,104
880,LBRDK,130
881,LBTYA,130
882,LBTYK,130
883,LE,130
884,LECO,130
885,LFUS,130
886,LGIH,130
887,LGND,130
888,LHCG,130
889,LILA,130
890,LILAK,130
891,LIND,130
892,LITE,130
893,LIVN,130
894,LJPC,130
895,LK,104
896,LKFN,130
897,LKQ,130
898,LLIT,130
899,LLNW,130
900,LMAT,104
901,LMBS,130
902,LMNR,104
903,LMNX,130
904,LNDC,130
905,LNT,130
906,LNTH,130
907,LOB,130
908,LOCO,130
909,LOGI,130
910,LOGM,130
911,LOPE,130
912,LORL,104
913,LOVE,130
914,LPCN,52
915,LPLA,130
916,LPSN,130
917,LPTX,26
918,LQDT,78
919,LRCX,130
920,LSCC,130
921,LSTR,130
922,LSXMA,130
923,LSXMK,130
924,LTRPA,130
925,LTRX,78
926,LULU,130
927,LUNA,130
928,LVGO,130
929,LVHD,104
930,LX,130
931,LXRX,130
932,LYFT,130
933,LYTS,52
934,MANH,130
935,MANT,104
936,MAR,130
937,MARK,130
938,MASI,130
939,MAT,130
940,MATW,130
941,MBB,130
942,MBII,52
943,MBOT,78
944,MBRX,130
945,MBUU,130
946,MCEP,130
947,MCFT,130
948,MCHI,130
949,MCHP,130
950,MCHX,104
951,MCRB,130
952,MCRI,130
953,MDB,130
954,MDGL,130
955,MDIV,78
956,MDLZ,130
957,MDRX,130
958,MEDP,130
959,MEDS,26
960,MEET,130
961,MEIP,130
962,MELI,130
963,MEOH,130
964,MERC,130
965,MESA,130
966,MFIN,78
967,MGEE,130
968,MGI,130
969,MGLN,130
970,MGNX,130
971,MGPI,130
972,MGRC,52
973,MGTA,104
974,MIDD,130
975,MIK,130
976,MIME,130
977,MINI,130
978,MIST,130
979,MITK,130
980,MKSI,130
981,MKTX,130
982,MLCO,130
983,MLHR,130
984,MLND,104
985,MLNX,130
986,MMLP,130
987,MMSI,130
988,MMYT,130
989,MNKD,130
990,MNLO,130
991,MNOV,78
992,MNRO,130
993,MNST,130
994,MNTA,130
995,MOBL,130
996,MOMO,130
997,MORN,130
998,MPAA,130
999,MPWR,130
1000,MRAM,52
1001,MRCC,130
1002,MRCY,130
1003,MRKR,130
1004,MRNA,130
1005,MRNS,130
1006,MRSN,130
1007,MRTN,130
1008,MRTX,130
1009,MRVL,130
1010,MSBI,130
1011,MSFT,130
1012,MSTR,52
1013,MTCH,130
1014,MTEM,130
